 name_player media posicion tipo precio skill wf ritmo shot pas drib def phy popularity "base stats" igs plataforma time
0 Pelé 99 CAM "Icon Moments" 2.68M 5 4 96 97 96 97 62 79 2230 527 2563 play-station "Tue Sep  6 07:39:39 2022"
1 "Lionel Messi" 99 CF ShapeShifters 1.75M 5 4 95 98 99 99 42 78 3929 511 2485 play-station "Tue Sep  6 07:39:39 2022"
2 "Cristiano Ronaldo" 99 LW ShapeShifters 1.8M 5 4 99 99 90 97 50 92 4367 527 2549 play-station "Tue Sep  6 07:39:39 2022"
3 "Raphaël Varane" 99 CB "Premium Futties SBC" 818.75K 2 3 96 61 80 83 99 98 2166 517 2378 play-station "Tue Sep  6 07:39:39 2022"
4 "Ousmane Dembélé" 99 RW "Premium Futties" 1.16M 5 5 99 96 94 99 49 79 1843 516 2488 play-station "Tue Sep  6 07:39:39 2022"
5 "Mohamed Salah" 99 CAM "Premium Futties SBC" 1.29M 5 5 99 99 96 99 54 88 2681 535 2578 play-station "Tue Sep  6 07:39:39 2022"
6 "Robert Lewandowski" 99 ST "Player Moments SBC" 172.8K 4 5 97 99 90 98 52 98 2491 534 2584 play-station "Tue Sep  6 07:39:39 2022"
7 Pelé 98 CAM Icon 1.2M 5 4 95 96 93 96 60 76 1747 516 2513 play-station "Tue Sep  6 07:39:39 2022"
8 "Robert Lewandowski" 98 ST TOTY 96K 4 4 93 98 87 95 50 95 14634 518 2500 play-station "Tue Sep  6 07:39:39 2022"
9 "Lionel Messi" 98 RW TOTY 898K 4 4 93 97 98 99 40 76 3677 503 2451 play-station "Tue Sep  6 07:39:39 2022"
10 "Diego Maradona" 98 CAM "Icon Moments" 0 0 5 4 93 94 95 98 42 78 1586 2446 play-station "Tue Sep  6 07:39:39 2022"
11 "Karim Benzema" 98 CF TOTS 69K 4 5 95 98 90 98 47 87 5338 515 2479 play-station "Tue Sep  6 07:39:39 2022"
12 "David Ginola" 98 ST "Shapeshifters Hero" 780K 5 5 98 96 95 97 63 92 1507 541 2608 play-station "Tue Sep  6 07:39:39 2022"
13 "Franck Ribéry" 98 LW ShapeShifters 100K 5 5 96 95 97 99 46 81 3063 514 2481 play-station "Tue Sep  6 07:39:39 2022"
14 "Gareth Bale" 98 RM "Premium SBC" 565K 5 4 99 98 97 97 70 96 7840 557 2684 play-station "Tue Sep  6 07:39:39 2022"
15 "Abedi Pelé" 98 LW "Shapeshifters Hero" 29K 5 5 98 93 96 99 64 75 1719 525 2557 play-station "Tue Sep  6 07:39:39 2022"
16 "N'Golo Kanté" 98 CAM ShapeShifters 1.48M 5 4 92 93 92 96 92 91 1859 556 2651 play-station "Tue Sep  6 07:39:39 2022"
17 "Wissam Ben Yedder" 98 ST "Premium Futties" 38.35K 5 5 99 99 93 99 55 85 2025 530 2582 play-station "Tue Sep  6 07:39:39 2022"
18 "Neymar Jr" 98 CAM "Premium Futties SBC" 1.15M 5 5 99 95 94 99 44 73 4286 504 2467 play-station "Tue Sep  6 07:39:39 2022"
19 "Christian Eriksen" 98 CM "ShowDown SBC" 210.3K 5 5 96 97 99 98 90 92 2136 572 2751 play-station "Tue Sep  6 07:39:39 2022"
20 "Erling Haaland" 98 ST "Player Moments SBC" 197.2K 4 5 99 99 91 95 54 98 697 536 2581 play-station "Tue Sep  6 07:39:39 2022"
21 "Jules Koundé" 98 CB "ShowDown SBC" 192.1K 3 3 96 60 83 90 99 95 1934 523 2400 play-station "Tue Sep  6 07:39:39 2022"
22 "Sadio Mané" 98 ST "Player Moments SBC" 384K 5 4 99 96 95 99 56 92 1168 537 2586 play-station "Tue Sep  6 07:39:39 2022"
23 "Paulo Dybala" 98 CF "Player Moments SBC" 607.3K 5 4 97 98 98 99 51 83 1223 526 2562 play-station "Tue Sep  6 07:39:39 2022"
24 "Nick Pope" 98 GK "Player Moments SBC" 51.05K 5 3 96 97 90 98 70 96 1578 547 974 play-station "Tue Sep  6 07:39:39 2022"
25 "Diego Maradona" 97 CAM Icon 1.9M 5 3 92 93 92 97 40 76 912 490 2392 play-station "Tue Sep  6 07:39:39 2022"
26 "Kylian Mbappé" 97 ST TOTY 846K 5 4 99 95 90 98 44 88 -9556 514 2457 play-station "Tue Sep  6 07:39:39 2022"
27 "Luiz Frello Filho Jorge" 97 CM TOTY 78.5K 4 4 88 90 98 93 86 87 -2845 542 2620 play-station "Tue Sep  6 07:39:39 2022"
28 "Rúben Dias" 97 CB TOTY 78.5K 2 4 87 50 84 81 97 96 5987 495 2310 play-station "Tue Sep  6 07:39:39 2022"
29 "Cristiano Ronaldo" 97 ST TOTY 729K 5 4 93 98 88 95 39 92 2986 505 2445 play-station "Tue Sep  6 07:39:39 2022"
30 Ronaldo 97 ST Icon 4M 5 5 98 97 83 97 46 79 3747 500 2399 play-station "Tue Sep  6 07:39:48 2022"
31 "Zinedine Zidane" 97 CAM Icon 2.03M 5 5 86 93 98 98 76 88 2034 539 2607 play-station "Tue Sep  6 07:39:48 2022"
32 "Cristiano Ronaldo" 97 ST TOTS 823K 5 4 94 99 88 95 39 91 2767 506 2455 play-station "Tue Sep  6 07:39:48 2022"
33 "Mohamed Salah" 97 RW TOTS 118K 4 4 98 97 94 98 52 86 2446 525 2537 play-station "Tue Sep  6 07:39:48 2022"
